player_name,avg_fastball_velo,total_pitches,fastball_count,fastball_pct,archetype,hits,strikeouts,outs,total_events,hit_rate,k_rate,out_minus_hit,run_prevention,out_rate,damage_rate
"Martin, Chris",92.95714285714287,14,7.0,0.5,Balanced,4,4,5,14,0.2857142857142857,0.2857142857142857,1,0.07142857142857142,0.35714285714285715,0.2857142857142857
"Martinez, Nick",89.59411764705882,25,17.0,0.68,Balanced,8,6,9,25,0.32,0.24,1,0.04,0.36,0.32
"Martinez, Seth",90.43333333333334,7,6.0,0.8571428571428571,Balanced,1,0,6,7,0.14285714285714285,0.0,5,0.7142857142857143,0.8571428571428571,0.14285714285714285
"Maton, Phil",88.46666666666665,12,3.0,0.25,Offspeed Heavy,3,2,2,12,0.25,0.16666666666666666,-1,-0.08333333333333333,0.16666666666666666,0.25
"Matsui, Yuki",90.81666666666666,10,6.0,0.6,Balanced,1,0,7,10,0.1,0.0,6,0.6,0.7,0.1
"Matz, Steven",94.34166666666665,19,12.0,0.631578947368421,Balanced,4,3,11,19,0.21052631578947367,0.15789473684210525,7,0.3684210526315789,0.5789473684210527,0.21052631578947367
"Matzek, Tyler",93.9,8,5.0,0.625,Balanced,0,3,3,8,0.0,0.375,3,0.375,0.375,0.0
"Mayza, Tim",92.24,13,5.0,0.38461538461538464,Offspeed Heavy,4,1,5,13,0.3076923076923077,0.07692307692307693,1,0.07692307692307693,0.38461538461538464,0.3076923076923077
"McArthur, James",94.60000000000001,17,6.0,0.35294117647058826,Offspeed Heavy,6,4,6,17,0.35294117647058826,0.23529411764705882,0,0.0,0.35294117647058826,0.35294117647058826
"McFarland, T.J.",87.675,8,4.0,0.5,Balanced,4,0,4,8,0.5,0.0,0,0.0,0.5,0.5
"McGough, Scott",93.7,9,3.0,0.3333333333333333,Offspeed Heavy,3,3,3,9,0.3333333333333333,0.3333333333333333,0,0.0,0.3333333333333333,0.3333333333333333
"McKenzie, Triston",90.66666666666667,17,6.0,0.35294117647058826,Offspeed Heavy,4,2,8,17,0.23529411764705882,0.11764705882352941,4,0.23529411764705882,0.47058823529411764,0.23529411764705882
"Mears, Nick",96.83333333333333,13,6.0,0.46153846153846156,Balanced,2,3,6,13,0.15384615384615385,0.23076923076923078,4,0.3076923076923077,0.46153846153846156,0.15384615384615385
"Merryweather, Julian",95.7,12,4.0,0.3333333333333333,Offspeed Heavy,3,4,3,12,0.25,0.3333333333333333,0,0.0,0.25,0.25
"Meyer, Max",94.325,41,16.0,0.3902439024390244,Offspeed Heavy,5,7,26,41,0.12195121951219512,0.17073170731707318,21,0.5121951219512195,0.6341463414634146,0.12195121951219512
"Mikolas, Miles",92.74166666666667,26,12.0,0.46153846153846156,Balanced,7,4,14,26,0.2692307692307692,0.15384615384615385,7,0.2692307692307692,0.5384615384615384,0.2692307692307692
"Miller, Bobby",98.22857142857143,11,7.0,0.6363636363636364,Power Fastball,4,3,2,11,0.36363636363636365,0.2727272727272727,-2,-0.18181818181818182,0.18181818181818182,0.36363636363636365
"Miller, Bryce",94.83076923076922,25,13.0,0.52,Balanced,3,7,14,25,0.12,0.28,11,0.44,0.56,0.12
"Miller, Erik",94.39999999999999,6,3.0,0.5,Balanced,1,2,2,6,0.16666666666666666,0.3333333333333333,1,0.16666666666666666,0.3333333333333333,0.16666666666666666
"Miller, Mason",100.9125,17,8.0,0.47058823529411764,Balanced,3,7,5,17,0.17647058823529413,0.4117647058823529,2,0.11764705882352941,0.29411764705882354,0.17647058823529413
"Miller, Shelby",92.5375,11,8.0,0.7272727272727273,Balanced,0,4,5,11,0.0,0.36363636363636365,5,0.45454545454545453,0.45454545454545453,0.0
"Milner, Hoby",87.58333333333333,12,6.0,0.5,Balanced,3,1,6,12,0.25,0.08333333333333333,3,0.25,0.5,0.25
"Minter, A.J.",92.0,7,6.0,0.8571428571428571,Balanced,1,2,4,7,0.14285714285714285,0.2857142857142857,3,0.42857142857142855,0.5714285714285714,0.14285714285714285
"Mize, Casey",95.1625,21,8.0,0.38095238095238093,Offspeed Heavy,5,4,9,21,0.23809523809523808,0.19047619047619047,4,0.19047619047619047,0.42857142857142855,0.23809523809523808
"Molina, Anthony",93.34444444444445,16,9.0,0.5625,Balanced,4,1,8,16,0.25,0.0625,4,0.25,0.5,0.25
"Montas, Frankie",93.76315789473684,24,19.0,0.7916666666666666,Balanced,5,5,11,24,0.20833333333333334,0.20833333333333334,6,0.25,0.4583333333333333,0.20833333333333334
"Montero, Rafael",95.89999999999999,11,6.0,0.5454545454545454,Balanced,0,2,7,11,0.0,0.18181818181818182,7,0.6363636363636364,0.6363636363636364,0.0
"Moore, Matt",93.1,9,5.0,0.5555555555555556,Balanced,0,1,8,9,0.0,0.1111111111111111,8,0.8888888888888888,0.8888888888888888,0.0
"Morgan, Eli",91.46666666666665,4,3.0,0.75,Balanced,2,0,1,4,0.5,0.0,-1,-0.25,0.25,0.5
"Morton, Charlie",93.1375,22,8.0,0.36363636363636365,Offspeed Heavy,3,5,10,22,0.13636363636363635,0.22727272727272727,7,0.3181818181818182,0.45454545454545453,0.13636363636363635
"Muller, Kyle",91.975,27,16.0,0.5925925925925926,Balanced,3,7,16,27,0.1111111111111111,0.25925925925925924,13,0.48148148148148145,0.5925925925925926,0.1111111111111111
"Musgrove, Joe",91.77000000000001,23,10.0,0.43478260869565216,Offspeed Heavy,5,6,7,23,0.21739130434782608,0.2608695652173913,2,0.08695652173913043,0.30434782608695654,0.21739130434782608
"Muñoz, Andrés",98.06666666666666,12,6.0,0.5,Balanced,1,3,4,12,0.08333333333333333,0.25,3,0.25,0.3333333333333333,0.08333333333333333
"Nardi, Andrew",94.98,11,10.0,0.9090909090909091,Balanced,4,4,3,11,0.36363636363636365,0.36363636363636365,-1,-0.09090909090909091,0.2727272727272727,0.36363636363636365
"Nelson, Kyle",89.7,15,7.0,0.4666666666666667,Balanced,1,5,8,15,0.06666666666666667,0.3333333333333333,7,0.4666666666666667,0.5333333333333333,0.06666666666666667
"Nelson, Nick",93.36666666666667,5,3.0,0.6,Balanced,2,1,1,5,0.4,0.2,-1,-0.2,0.2,0.4
"Nelson, Ryne",94.05,38,20.0,0.5263157894736842,Balanced,10,9,14,38,0.2631578947368421,0.23684210526315788,4,0.10526315789473684,0.3684210526315789,0.2631578947368421
"Neris, Héctor",90.46666666666665,5,3.0,0.6,Balanced,3,2,0,5,0.6,0.4,-3,-0.6,0.0,0.6
"Nola, Aaron",91.08888888888889,22,9.0,0.4090909090909091,Offspeed Heavy,2,4,12,22,0.09090909090909091,0.18181818181818182,10,0.45454545454545453,0.5454545454545454,0.09090909090909091
"Okert, Steven",93.2,4,1.0,0.25,Offspeed Heavy,0,3,0,4,0.0,0.75,0,0.0,0.0,0.0
"Olson, Reese",94.87333333333332,22,15.0,0.6818181818181818,Balanced,3,3,13,22,0.13636363636363635,0.13636363636363635,10,0.45454545454545453,0.5909090909090909,0.13636363636363635
"Ortiz, Luis",93.55,12,6.0,0.5,Balanced,2,3,5,12,0.16666666666666666,0.25,3,0.25,0.4166666666666667,0.16666666666666666
"Ottavino, Adam",91.52000000000001,10,5.0,0.5,Balanced,1,5,4,10,0.1,0.5,3,0.3,0.4,0.1
"Paddack, Chris",94.39999999999999,18,7.0,0.3888888888888889,Offspeed Heavy,6,2,8,18,0.3333333333333333,0.1111111111111111,2,0.1111111111111111,0.4444444444444444,0.3333333333333333
"Pagán, Emilio",89.6875,10,8.0,0.8,Balanced,3,2,5,10,0.3,0.2,2,0.2,0.5,0.3
"Palencia, Daniel",96.9,12,9.0,0.75,Power Fastball,1,2,7,12,0.08333333333333333,0.16666666666666666,6,0.5,0.5833333333333334,0.08333333333333333
"Pallante, Andre",95.61666666666667,6,6.0,1.0,Power Fastball,0,1,4,6,0.0,0.16666666666666666,4,0.6666666666666666,0.6666666666666666,0.0
"Parsons, Wes",94.58333333333333,9,6.0,0.6666666666666666,Balanced,2,1,5,9,0.2222222222222222,0.1111111111111111,3,0.3333333333333333,0.5555555555555556,0.2222222222222222
"Paxton, James",91.9,23,20.0,0.8695652173913043,Balanced,4,5,9,23,0.17391304347826086,0.21739130434782608,5,0.21739130434782608,0.391304347826087,0.17391304347826086
"Payamps, Joel",93.03333333333335,8,3.0,0.375,Offspeed Heavy,4,0,4,8,0.5,0.0,0,0.0,0.5,0.5
"Pearson, Nate",97.85714285714286,13,7.0,0.5384615384615384,Balanced,3,4,4,13,0.23076923076923078,0.3076923076923077,1,0.07692307692307693,0.3076923076923077,0.23076923076923078
